Computing...


Start DBSCAN
Cluster 0:

        ID: 68240463,  X: 116.276143,  Y: 39.932264

        ID: 68797856,  X: 116.275959,  Y: 39.932125

        ID: 69121808,  X: 116.275928,  Y: 39.932124

        ID: 66714789,  X: 116.274265,  Y: 39.930967

        ID: 66717952,  X: 116.274265,  Y: 39.930967

        ID: 63965503,  X: 116.274265,  Y: 39.930967

        ID: 65304966,  X: 116.274265,  Y: 39.930967

        ID: 66712683,  X: 116.274265,  Y: 39.930967

        ID: 66713343,  X: 116.274265,  Y: 39.930967

        ID: 66713936,  X: 116.274265,  Y: 39.930967

        ID: 67221040,  X: 116.27424627542497,  Y: 39.93062251344545

        ID: 67221243,  X: 116.27424627542497,  Y: 39.93062251344545

        ID: 69127454,  X: 116.274025,  Y: 39.929897

        ID: 69534011,  X: 116.27447828650475,  Y: 39.930961880878606

        ID: 69897726,  X: 116.274265,  Y: 39.930967

        ID: 70038495,  X: 116.274265,  Y: 39.930967

        ID: 70568204,  X: 116.274222,  Y: 39.930349

        ID: 70860669,  X: 116.274265,  Y: 39.930967

        ID: 70853875,  X: 116.274315,  Y: 39.930956

        ID: 72376060,  X: 116.274265,  Y: 39.930967

        ID: 72412226,  X: 116.274265,  Y: 39.930967

        ID: 72470129,  X: 116.274265,  Y: 39.930967

        ID: 73343931,  X: 116.27419,  Y: 39.930972

        ID: 73344041,  X: 116.27419,  Y: 39.930972

        ID: 73344285,  X: 116.27419,  Y: 39.930972

        ID: 73344119,  X: 116.27419,  Y: 39.930972

        ID: 73344539,  X: 116.27419,  Y: 39.930972

        ID: 73344611,  X: 116.27419,  Y: 39.930972

        ID: 73344856,  X: 116.27419,  Y: 39.930972

        ID: 71933288,  X: 116.273911,  Y: 39.929977

        ID: 74416599,  X: 116.274061,  Y: 39.930882

        ID: 65851247,  X: 116.273654,  Y: 39.930446

        ID: 70331521,  X: 116.274147,  Y: 39.931178

        ID: 67329789,  X: 116.274791,  Y: 39.931474

        ID: 72710991,  X: 116.274681,  Y: 39.931393

        ID: 73857145,  X: 116.274362,  Y: 39.931309

        ID: 71929538,  X: 116.27392843365669,  Y: 39.93116858567247

        ID: 69575027,  X: 116.273684,  Y: 39.929918

        ID: 71975026,  X: 116.273684,  Y: 39.929918

        ID: 71633851,  X: 116.273718,  Y: 39.929598

        ID: 67335706,  X: 116.273272,  Y: 39.928407

        ID: 69016985,  X: 116.273825,  Y: 39.928381

        ID: 69179376,  X: 116.273272,  Y: 39.928407

        ID: 70051512,  X: 116.27341,  Y: 39.928716

        ID: 71382937,  X: 116.27334773540495,  Y: 39.92861918292307

        ID: 72659158,  X: 116.273632,  Y: 39.928265

        ID: 73045251,  X: 116.273654,  Y: 39.928183

        ID: 73553830,  X: 116.27346,  Y: 39.928002

        ID: 73555092,  X: 116.27346,  Y: 39.928002

        ID: 73811063,  X: 116.273568,  Y: 39.928134

        ID: 67724811,  X: 116.276894,  Y: 39.931606

        ID: 69859121,  X: 116.277151,  Y: 39.931663

        ID: 74661882,  X: 116.276958,  Y: 39.93182

        ID: 74666336,  X: 116.276937,  Y: 39.931877

        ID: 66938736,  X: 116.27404,  Y: 39.931474

        ID: 67735622,  X: 116.274319,  Y: 39.931556

        ID: 74199201,  X: 116.27346,  Y: 39.930561

        ID: 66035400,  X: 116.27444,  Y: 39.931742

        ID: 66025567,  X: 116.27444,  Y: 39.931742

        ID: 66169761,  X: 116.27449035644531,  Y: 39.93189256172014

        ID: 67522659,  X: 116.274551,  Y: 39.932003

        ID: 68151644,  X: 116.274254,  Y: 39.931663

        ID: 73286972,  X: 116.274315,  Y: 39.931923

        ID: 66686158,  X: 116.27621367573738,  Y: 39.93235326976353

        ID: 66768397,  X: 116.27737373113631,  Y: 39.932008767389604

        ID: 67191963,  X: 116.276682,  Y: 39.93239

        ID: 70244190,  X: 116.27641215920448,  Y: 39.93222163921041

        ID: 72878481,  X: 116.276328,  Y: 39.932314

        ID: 68144292,  X: 116.276513,  Y: 39.92654

        ID: 74199958,  X: 116.275992,  Y: 39.926472

        ID: 67387522,  X: 116.277773,  Y: 39.926694

        ID: 67919141,  X: 116.278181,  Y: 39.926809

        ID: 70463402,  X: 116.278224,  Y: 39.926867

        ID: 74356371,  X: 116.278739,  Y: 39.927624

        ID: 74354206,  X: 116.278739,  Y: 39.927624

        ID: 74357947,  X: 116.278739,  Y: 39.927624

        ID: 74351901,  X: 116.278739,  Y: 39.927624

        ID: 74352578,  X: 116.278739,  Y: 39.927624

        ID: 69341787,  X: 116.276955,  Y: 39.926201

        ID: 71349537,  X: 116.279013,  Y: 39.927779

        ID: 73004559,  X: 116.278846,  Y: 39.927632

        ID: 73237741,  X: 116.27889588475229,  Y: 39.92787563208721

        ID: 64909918,  X: 116.279264,  Y: 39.928394

        ID: 66006762,  X: 116.279195,  Y: 39.928181

        ID: 67761151,  X: 116.279254,  Y: 39.927706

        ID: 67761169,  X: 116.279254,  Y: 39.927706

        ID: 67761127,  X: 116.279254,  Y: 39.927706

        ID: 68941702,  X: 116.279264,  Y: 39.928394

        ID: 69191414,  X: 116.279195,  Y: 39.928181

        ID: 71811245,  X: 116.279264,  Y: 39.928394

        ID: 72561793,  X: 116.279195,  Y: 39.928181

        ID: 64171571,  X: 116.279254,  Y: 39.928891

        ID: 64156475,  X: 116.279275,  Y: 39.928891

        ID: 65852195,  X: 116.27917,  Y: 39.929065

        ID: 72749017,  X: 116.279218,  Y: 39.929063

        ID: 63827104,  X: 116.279471,  Y: 39.928476

        ID: 69050375,  X: 116.2792982161045,  Y: 39.92852456832739

        ID: 70508805,  X: 116.279447,  Y: 39.928529

        ID: 65977702,  X: 116.27873227000234,  Y: 39.93029342826708

        ID: 63406085,  X: 116.275456,  Y: 39.926554

        ID: 65851837,  X: 116.279559,  Y: 39.929003

        ID: 67075554,  X: 116.279426,  Y: 39.929154

        ID: 63291397,  X: 116.278855,  Y: 39.92701

        ID: 64663474,  X: 116.278855,  Y: 39.92701

        ID: 64835223,  X: 116.278846,  Y: 39.927007

        ID: 66276431,  X: 116.278855,  Y: 39.92701

        ID: 67920460,  X: 116.27831,  Y: 39.926817

        ID: 67921933,  X: 116.278353,  Y: 39.926842

        ID: 69117652,  X: 116.278855,  Y: 39.92701

        ID: 69450414,  X: 116.278855,  Y: 39.92701

        ID: 69625985,  X: 116.278855,  Y: 39.92701

        ID: 69626384,  X: 116.278855,  Y: 39.92701

        ID: 69848869,  X: 116.278648,  Y: 39.926838

        ID: 71062660,  X: 116.278846,  Y: 39.926998

        ID: 71062387,  X: 116.278846,  Y: 39.926998

        ID: 71063335,  X: 116.278846,  Y: 39.926998

        ID: 71064384,  X: 116.278846,  Y: 39.926998

        ID: 71994942,  X: 116.279447,  Y: 39.927731

        ID: 72141155,  X: 116.278855,  Y: 39.92701

        ID: 72877085,  X: 116.278855,  Y: 39.92701

        ID: 73036364,  X: 116.278855,  Y: 39.92701

        ID: 73037157,  X: 116.278855,  Y: 39.92701

